33210000,33219999,10000,NextGenTel AS,TILDELT,Fastnettnummer
33220000,33220999,1000,Puzzel AS,TILDELT,Fastnettnummer
33221000,33222999,2000,Telavox AS,TILDELT,Fastnettnummer
33223000,33279999,57000, ,LEDIG,Fastnettnummer
33280000,33299999,20000,GlobalConnect AS,TILDELT,Fastnettnummer
33300000,33399999,100000,Telenor Norge AS,TILDELT,Fastnettnummer
33400000,33400999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
33401000,33499999,99000,Telenor Norge AS,TILDELT,Fastnettnummer
33500000,33519999,20000,Telia Norge AS,TILDELT,Fastnettnummer
33520000,33529999,10000,Altibox AS,TILDELT,Fastnettnummer
33530000,33599999,70000, ,LEDIG,Fastnettnummer
33600000,33609999,10000, ,LEDIG,Fastnettnummer
33610000,33619999,10000,NextGenTel AS,TILDELT,Fastnettnummer
33620000,33699999,80000, ,LEDIG,Fastnettnummer
33700000,33739999,40000,Telenor Norge AS,TILDELT,Fastnettnummer
33740000,33740999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
33741000,33794999,54000,Telenor Norge AS,TILDELT,Fastnettnummer
33795000,33795999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
33796000,33799999,4000,Telenor Norge AS,TILDELT,Fastnettnummer
33800000,33809999,10000,Telia Norge AS,TILDELT,Fastnettnummer
33810000,33899999,90000, ,LEDIG,Fastnettnummer
33900000,33909999,10000,Telia Norge AS,TILDELT,Fastnettnummer
33910000,33988999,79000, ,LEDIG,Fastnettnummer
33989000,33992999,4000,Telia Norge AS,TILDELT,Fastnettnummer
33993000,33993999,1000,NextGenTel AS,TILDELT,Fastnettnummer
33994000,33994999,1000,Ice Communication Norge AS,TILDELT,Fastnettnummer
33995000,33996999,2000, ,LEDIG,Fastnettnummer
33997000,33997999,1000,Voxbone SA/NV,TILDELT,Fastnettnummer
33998000,33998999,1000,Orange Business Norway AS,TILDELT,Fastnettnummer
33999000,33999999,1000,Nextcom-ITSP AS,TILDELT,Fastnettnummer
34000000,34999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
35000000,35031999,32000,Telenor Norge AS,TILDELT,Fastnettnummer
35032000,35032999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
35033000,35099999,67000,Telenor Norge AS,TILDELT,Fastnettnummer
35100000,35119999,20000,Telia Norge AS,TILDELT,Fastnettnummer
35120000,35122999,3000,Telia Norge AS,TILDELT,Fastnettnummer
35123000,35189999,67000, ,LEDIG,Fastnettnummer
35190000,35199999,10000,GlobalConnect AS,TILDELT,Fastnettnummer
35200000,35209999,10000, ,LEDIG,Fastnettnummer
35210000,35288999,79000, ,LEDIG,Fastnettnummer
35289000,35294999,6000,Altibox AS,TILDELT,Fastnettnummer
35295000,35295999,1000,Puzzel AS,TILDELT,Fastnettnummer
35296000,35296999,1000,Ice Communication Norge AS,TILDELT,Fastnettnummer
35297000,35299999,3000, ,LEDIG,Fastnettnummer
35300000,35309999,10000,Telia Norge AS,TILDELT,Fastnettnummer
35310000,35499999,190000, ,LEDIG,Fastnettnummer
35500000,35599999,100000,Telenor Norge AS,TILDELT,Fastnettnummer
35600000,35609999,10000,NextGenTel AS,TILDELT,Fastnettnummer
35610000,35687999,78000, ,LEDIG,Fastnettnummer
35688000,35689999,2000,Telavox AS,TILDELT,Fastnettnummer
35690000,35692999,3000,Telia Norge AS,TILDELT,Fastnettnummer
35693000,35694999,2000,Altibox AS,TILDELT,Fastnettnummer
35695000,35696999,2000, ,LEDIG,Fastnettnummer
35697000,35697999,1000,Voxbone SA/NV,TILDELT,Fastnettnummer
35698000,35698999,1000,Orange Business Norway AS,TILDELT,Fastnettnummer
35699000,35699999,1000, ,LEDIG,Fastnettnummer
35700000,35709999,10000,Telia Norge AS,TILDELT,Fastnettnummer
35710000,35719999,10000,NextGenTel AS,TILDELT,Fastnettnummer
35720000,35899999,180000, ,LEDIG,Fastnettnummer
