YU,SORTLAND,NORDLAND,GEOGRAFISK
YV,SORTLAND,NORDLAND,GEOGRAFISK
YX,SORTLAND,NORDLAND,GEOGRAFISK
YT,SVOLVÆR,NORDLAND,GEOGRAFISK
YY,SVOLVÆR,NORDLAND,GEOGRAFISK
ZT,ALTA,TROMS OG FINNMARK,GEOGRAFISK
ZU,ALTA,TROMS OG FINNMARK,GEOGRAFISK
ZV,ALTA,TROMS OG FINNMARK,GEOGRAFISK
ZY,ALTA,TROMS OG FINNMARK,GEOGRAFISK
ZW,ALTA,TROMS OG FINNMARK,GEOGRAFISK
UW,ALTA,TROMS OG FINNMARK,GEOGRAFISK
ZD,FINNSNES,TROMS OG FINNMARK,GEOGRAFISK
ZF,FINNSNES,TROMS OG FINNMARK,GEOGRAFISK
ZJ,FINNSNES,TROMS OG FINNMARK,GEOGRAFISK
EX,FINNSNES,TROMS OG FINNMARK,GEOGRAFISK
ZX,HAMMERFEST,TROMS OG FINNMARK,GEOGRAFISK
FF,HAMMERFEST,TROMS OG FINNMARK,GEOGRAFISK
EX,HAMMERFEST,TROMS OG FINNMARK,GEOGRAFISK
YZ,HARSTAD,TROMS OG FINNMARK,GEOGRAFISK
ZA,HARSTAD,TROMS OG FINNMARK,GEOGRAFISK
ZB,HARSTAD,TROMS OG FINNMARK,GEOGRAFISK
TW,HARSTAD,TROMS OG FINNMARK,GEOGRAFISK
ZS,KIRKENES,TROMS OG FINNMARK,GEOGRAFISK
EY,KIRKENES,TROMS OG FINNMARK,GEOGRAFISK
ZZ,LAKSELV,TROMS OG FINNMARK,GEOGRAFISK
CW,LAKSELV,TROMS OG FINNMARK,GEOGRAFISK
FK,STORSLETT,TROMS OG FINNMARK,GEOGRAFISK
SW,STORSLETT,TROMS OG FINNMARK,GEOGRAFISK
ZC,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
ZE,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
ZH,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
ZK,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
ZL,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
FC,TROMSØ,TROMS OG FINNMARK,GEOGRAFISK
FR,VADSØ,TROMS OG FINNMARK,GEOGRAFISK
ZP,VADSØ,TROMS OG FINNMARK,GEOGRAFISK
ZR,VADSØ,TROMS OG FINNMARK,GEOGRAFISK
LE,VADSØ,TROMS OG FINNMARK,GEOGRAFISK
ZN,SVALBARD,TROMS OG FINNMARK,GEOGRAFISK
FH,SVALBARD,TROMS OG FINNMARK,GEOGRAFISK
